"Table 2: E-5 City/County Population and Housing Estimates, 1/1/2016",,,,,,,,,,,,
,,,,,,,,,,,,
,POPULATION,,, HOUSING UNITS,,,,,,,,
County / City,Total,Household,Group Quarters,Total,Single Detached,Single Attached,Two to Four,Five Plus,Mobile Homes,Occupied,Vacancy Rate,Persons per Household
Alameda County,,,,,,,,,,,,
Alameda             ,"78,750","77,222","1,528","32,763","13,912","3,350","5,834","9,540",127,"30,695",6.3%,2.52
Albany              ,"18,749","16,253","2,496","6,732","4,231",227,817,"1,432",25,"6,365",5.5%,2.55
Berkeley            ,"120,012","106,096","13,916","50,180","20,955","2,066","10,013","16,928",218,"46,741",6.9%,2.27
Dublin              ,"57,879","54,276","3,603","20,095","10,939","2,503",604,"5,995",54,"19,184",4.5%,2.83
Emeryville          ,"11,738","11,665",73,"7,125",420,401,753,"5,515",36,"6,336",11.1%,1.84
Fremont             ,"229,687","228,036","1,651","75,386","43,874","10,044","2,439","18,303",726,"72,753",3.5%,3.13
Hayward             ,"156,114","152,821","3,293","49,292","25,551","4,755","2,935","13,729","2,322","46,780",5.1%,3.27
Livermore           ,"87,976","87,466",510,"31,473","22,146","2,555","1,583","4,649",540,"30,233",3.9%,2.89
Newark              ,"44,882","44,737",145,"13,470","9,567","1,342",580,"1,981",0,"13,056",3.1%,3.43
Oakland             ,"426,850","419,083","7,767","171,192","74,169","6,921","32,650","56,897",555,"160,806",6.1%,2.61
Piedmont            ,"11,292","11,289",3,"3,943","3,721",48,95,79,0,"3,840",2.6%,2.94
Pleasanton          ,"76,073","75,509",564,"26,980","17,031","2,678","1,616","5,275",380,"26,057",3.4%,2.90
San Leandro         ,"89,605","88,955",650,"32,510","19,463","1,982","1,895","8,280",890,"30,941",4.8%,2.88
Union City          ,"73,430","72,912",518,"21,464","13,660","2,845",786,"3,157","1,016","20,610",4.0%,3.54
,,,,,,,,,,, ,
Balance Of County    ,"148,051","145,690","2,361","51,059","34,496","4,137","3,114","8,346",966,"48,577",4.9%,3.00
Incorporated,"1,483,037","1,446,320","36,717","542,605","279,639","41,717","62,600","151,760","6,889","514,397",5.2%,2.81
 ,,,,,,,,,,, ,
County Total,"1,631,088","1,592,010","39,078","593,664","314,135","45,854","65,714","160,106","7,855","562,974",5.2%,2.83
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Alpine County,,,,,,,,,,, ,
County Total,"1,164","1,140",24,"1,778","1,050",18,45,631,34,477,73.2%,2.39
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Amador County,,,,,,,,,,, ,
Amador              ,184,184,0,110,92,12,6,0,0,85,22.7%,2.17
Ione                ,"6,773","3,945","2,828","1,750","1,562",31,0,104,53,"1,570",10.3%,2.51
Jackson             ,"4,665","4,445",220,"2,321","1,439",134,288,252,208,"2,109",9.1%,2.11
Plymouth            ,972,963,9,485,275,30,16,25,139,396,18.4%,2.43
Sutter Creek        ,"2,457","2,456",1,"1,374",803,82,136,243,110,"1,168",15.0%,2.10
,,,,,,,,,,, ,
Balance Of County    ,"21,387","21,246",141,"12,130","10,726",270,159,66,909,"9,337",23.0%,2.28
Incorporated,"15,051","11,993","3,058","6,040","4,171",289,446,624,510,"5,328",11.8%,2.25
 ,,,,,,,,,,, ,
County Total,"36,438","33,239","3,199","18,170","14,897",559,605,690,"1,419","14,665",19.3%,2.27
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Butte County,,,,,,,,,,, ,
Biggs               ,"1,879","1,879",0,690,634,35,0,4,17,628,9.0%,2.99
Chico               ,"90,556","86,889","3,667","38,848","20,728","1,648","6,007","8,511","1,954","36,802",5.3%,2.36
Gridley             ,"6,842","6,730",112,"2,489","2,008",133,171,99,78,"2,293",7.9%,2.94
Oroville            ,"17,814","16,904",910,"7,314","3,871",801,845,"1,298",499,"6,575",10.1%,2.57
Paradise            ,"26,019","25,611",408,"13,037","9,025",353,"1,122",406,"2,131","11,920",8.6%,2.15
,,,,,,,,,,, ,
Balance Of County    ,"81,854","81,494",360,"35,885","25,046",142,811,378,"9,508","32,105",10.5%,2.54
Incorporated,"143,110","138,013","5,097","62,378","36,266","2,970","8,145","10,318","4,679","58,218",6.7%,2.37
 ,,,,,,,,,,, ,
County Total,"224,964","219,507","5,457","98,263","61,312","3,112","8,956","10,696","14,187","90,323",8.1%,2.43
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Calaveras County,,,,,,,,,,, ,
Angels City,"3,840","3,793",47,"1,953","1,403",71,129,120,230,"1,649",15.6%,2.30
,,,,,,,,,,, ,
Balance Of County    ,"41,396","40,944",452,"25,799","22,735",295,541,272,"1,956","17,142",33.6%,2.39
Incorporated,"3,840","3,793",47,"1,953","1,403",71,129,120,230,"1,649",15.6%,2.30
 ,,,,,,,,,,, ,
County Total,"45,236","44,737",499,"27,752","24,138",366,670,392,"2,186","18,791",32.3%,2.38
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Colusa County,,,,,,,,,,, ,
Colusa              ,"6,283","6,193",90,"2,388","1,708",79,321,160,120,"2,264",5.2%,2.74
Williams            ,"5,306","5,197",109,"1,560","1,133",18,138,210,61,"1,433",8.1%,3.63
,,,,,,,,,,, ,
Balance Of County    ,"10,343","10,282",61,"4,162","3,155",22,276,107,602,"3,586",13.8%,2.87
Incorporated,"11,589","11,390",199,"3,948","2,841",97,459,370,181,"3,697",6.4%,3.08
