"Table 2: E-5 City/County Population and Housing Estimates, 1/1/2018",,,,,,,,,,,,
,,,,,,,,,,,,
,POPULATION,,, HOUSING UNITS,,,,,,,,
County / City,Total,Household,Group Quarters,Total,Single Detached,Single Attached,Two to Four,Five Plus,Mobile Homes,Occupied,Vacancy Rate,Persons per Household
Alameda County,,,,,,,,,,,,
Alameda             ,"78,980","77,455","1,525","32,987","13,987","3,406","5,927","9,540",127,"30,619",7.2%,2.53
Albany              ,"19,216","16,775","2,441","6,930","4,249",231,818,"1,607",25,"6,536",5.7%,2.57
Berkeley            ,"122,369","108,129","14,240","50,953","20,997","2,083","10,022","17,633",218,"47,394",7.0%,2.28
Dublin              ,"61,874","58,384","3,490","21,937","11,725","2,908",624,"6,626",54,"20,553",6.3%,2.84
Emeryville          ,"11,871","11,798",73,"7,170",418,401,755,"5,560",36,"6,376",11.1%,1.85
Fremont             ,"231,252","229,601","1,651","76,279","44,455","10,066","2,484","18,548",726,"72,879",4.5%,3.15
Hayward             ,"158,693","155,539","3,154","49,913","25,898","4,878","2,935","13,880","2,322","47,370",5.1%,3.28
Livermore           ,"90,359","89,849",510,"32,191","22,324","2,897","1,591","4,837",542,"30,899",4.0%,2.91
Newark              ,"47,178","47,033",145,"14,147","9,883","1,381",628,"2,255",0,"13,657",3.5%,3.44
Oakland             ,"431,373","423,599","7,774","172,170","74,315","6,941","32,661","57,698",555,"161,711",6.1%,2.62
Piedmont            ,"11,368","11,365",3,"3,949","3,721",54,95,79,0,"3,846",2.6%,2.96
Pleasanton          ,"79,483","78,919",564,"28,054","17,149","2,742","1,574","6,209",380,"27,095",3.4%,2.91
San Leandro         ,"89,552","88,902",650,"32,516","19,468","1,983","1,895","8,280",890,"30,766",5.4%,2.89
Union City          ,"74,058","73,540",518,"21,501","13,695","2,847",786,"3,157","1,016","20,682",3.8%,3.56
,,,,,,,,,,, ,
Balance Of County    ,"149,258","146,906","2,352","51,270","34,513","4,137","3,134","8,519",967,"48,734",4.9%,3.01
Incorporated,"1,507,626","1,470,888","36,738","550,697","282,284","42,818","62,795","155,909","6,891","520,383",5.5%,2.83
 ,,,,,,,,,,, ,
County Total,"1,656,884","1,617,794","39,090","601,967","316,797","46,955","65,929","164,428","7,858","569,117",5.5%,2.84
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Alpine County,,,,,,,,,,, ,
County Total,"1,161","1,137",24,"1,778","1,050",18,45,631,34,523,70.6%,2.17
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Amador County,,,,,,,,,,, ,
Amador              ,186,186,0,110,92,12,6,0,0,85,22.7%,2.19
Ione                ,"8,016","3,980","4,036","1,759","1,571",31,0,104,53,"1,578",10.3%,2.52
Jackson             ,"4,692","4,474",218,"2,336","1,454",134,288,252,208,"2,115",9.5%,2.12
Plymouth            ,991,982,9,493,283,30,16,25,139,403,18.3%,2.44
Sutter Creek        ,"2,523","2,522",1,"1,395",801,93,136,254,111,"1,195",14.3%,2.11
,,,,,,,,,,, ,
Balance Of County    ,"21,512","21,376",136,"12,128","10,724",270,159,66,909,"9,358",22.8%,2.28
Incorporated,"16,408","12,144","4,264","6,093","4,201",300,446,635,511,"5,376",11.8%,2.26
 ,,,,,,,,,,, ,
County Total,"37,920","33,520","4,400","18,221","14,925",570,605,701,"1,420","14,734",19.1%,2.28
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Butte County,,,,,,,,,,, ,
Biggs               ,"1,894","1,894",0,692,636,35,0,4,17,630,9.0%,3.01
Chico               ,"92,861","89,136","3,725","39,810","21,249","1,648","6,054","8,851","2,008","37,574",5.6%,2.37
Gridley             ,"6,921","6,809",112,"2,517","2,036",133,171,99,78,"2,309",8.3%,2.95
Oroville            ,"18,091","17,178",913,"7,333","3,889",802,845,"1,298",499,"6,650",9.3%,2.58
Paradise            ,"26,423","26,015",408,"13,091","9,049",354,"1,142",406,"2,140","12,050",8.0%,2.16
,,,,,,,,,,, ,
Balance Of County    ,"81,706","81,346",360,"35,910","25,099",142,792,378,"9,499","31,894",11.2%,2.55
Incorporated,"146,190","141,032","5,158","63,443","36,859","2,972","8,212","10,658","4,742","59,213",6.7%,2.38
 ,,,,,,,,,,, ,
County Total,"227,896","222,378","5,518","99,353","61,958","3,114","9,004","11,036","14,241","91,107",8.3%,2.44
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Calaveras County,,,,,,,,,,, ,
Angels City,"3,826","3,779",47,"1,972","1,422",71,129,120,230,"1,665",15.6%,2.27
,,,,,,,,,,, ,
Balance Of County    ,"41,321","40,869",452,"26,102","22,972",295,547,272,"2,016","17,343",33.6%,2.36
Incorporated,"3,826","3,779",47,"1,972","1,422",71,129,120,230,"1,665",15.6%,2.27
 ,,,,,,,,,,, ,
County Total,"45,147","44,648",499,"28,074","24,394",366,676,392,"2,246","19,008",32.3%,2.35
,,,,,,,,,,, ,
,,,,,,,,,,, ,
Colusa County,,,,,,,,,,, ,
Colusa              ,"6,282","6,192",90,"2,390","1,710",79,321,160,120,"2,266",5.2%,2.73
Williams            ,"5,438","5,329",109,"1,595","1,172",14,138,210,61,"1,471",7.8%,3.62
,,,,,,,,,,, ,
Balance Of County    ,"10,343","10,282",61,"4,166","3,150",22,276,107,611,"3,590",13.8%,2.86
Incorporated,"11,720","11,521",199,"3,985","2,882",93,459,370,181,"3,737",6.2%,3.08
